Question,Correct Answer,Incorrect Answer
What is the capital of France?,Paris is the capital city of France,London is the capital city of France.
Who wrote "Romeo and Juliet"?,William Shakespeare wrote "Romeo and Juliet",Charles Dickens wrote "Romeo and Juliet".
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system,Saturn is the largest planet in our solar system.
What is the chemical symbol for water?,H2O is the chemical symbol for water,CO2 is the chemical symbol for water.
Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa,Pablo Picasso painted the Mona Lisa.
What is the tallest mountain in the world?,Mount Everest is the tallest mountain in the world,Mount Kilimanjaro is the tallest mountain in the world.
What is the process by which plants make their food?,Photosynthesis is the process by which plants make their food,Respiration is the process by which plants make their food.
What is the smallest prime number?,2 is the smallest prime number,1 is the smallest prime number.
Who is the author of "1984"?,George Orwell is the author of "1984",Aldous Huxley is the author of "1984".
What is the freezing point of water in Celsius?,0 degrees Celsius is the freezing point of water,32 degrees Celsius is the freezing point of water.
What gas do humans inhale for respiration?,Oxygen is the gas humans inhale for respiration,Nitrogen is the gas humans inhale for respiration.
What is the largest mammal on Earth?,The blue whale is the largest mammal on Earth,Elephant is the largest mammal on Earth.
What is the capital of Japan?,Tokyo is the capital of Japan,Osaka is the capital of Japan.
Who developed the theory of relativity?,Albert Einstein developed the theory of relativity,Isaac Newton developed the theory of relativity.
What is the main language spoken in Brazil?,Portuguese is the main language spoken in Brazil,Spanish is the main language spoken in Brazil.
What is the hardest natural substance on Earth?,Diamond is the hardest natural substance on Earth,Gold is the hardest natural substance on Earth.
What is the longest river in the world?,The Nile River is the longest river in the world,The Amazon River is the longest river in the world.
Who was the first President of the United States?,George Washington was the first President of the United States,Thomas Jefferson was the first President of the United States.
What is the powerhouse of the cell?,The mitochondria is the powerhouse of the cell,The nucleus is the powerhouse of the cell.
What element has the atomic number 1?,Hydrogen has the atomic number 1,Helium has the atomic number 1.
What is the capital of Italy?,Rome is the capital of Italy,Milan is the capital of Italy.
What is the largest continent on Earth?,Asia is the largest continent on Earth,Africa is the largest continent on Earth.
Who wrote "To Kill a Mockingbird"?,Harper Lee wrote "To Kill a Mockingbird",Mark Twain wrote "To Kill a Mockingbird".
What is the speed of light in vacuum?,Approximately 299,792 kilometers per second is the speed of light in vacuum,Approximately 150,000 kilometers per second is the speed of light in vacuum.
What is the currency of the United Kingdom?,The British Pound is the currency of the United Kingdom,The Euro is the currency of the United Kingdom.
What planet is known as the Red Planet?,Mars is known as the Red Planet,Jupiter is known as the Red Planet.
What is the largest ocean on Earth?,The Pacific Ocean is the largest ocean on Earth,The Atlantic Ocean is the largest ocean on Earth.
Who is known as the "King of Pop"?,Michael Jackson is known as the "King of Pop",Elvis Presley is known as the "King of Pop".
What is the square root of 144?,12 is the square root of 144,14 is the square root of 144.
What is the capital of Canada?,Ottawa is the capital of Canada,Toronto is the capital of Canada.
What is the main gas found in the Earth's atmosphere?,Nitrogen is the main gas found in the Earth's atmosphere,Oxygen is the main gas found in the Earth's atmosphere.
Who discovered penicillin?,Alexander Fleming discovered penicillin,Marie Curie discovered penicillin.
What is the largest desert in the world?,The Sahara Desert is the largest desert in the world,The Gobi Desert is the largest desert in the world.
What is the chemical symbol for gold?,Au is the chemical symbol for gold,Ag is the chemical symbol for gold.
Who painted the ceiling of the Sistine Chapel?,Michelangelo painted the ceiling of the Sistine Chapel,Raphael painted the ceiling of the Sistine Chapel.
What is the capital of Australia?,Canberra is the capital of Australia,Sydney is the capital of Australia.
What is the most abundant element in the universe?,Hydrogen is the most abundant element in the universe,Helium is the most abundant element in the universe.
What is the tallest building in the world?,The Burj Khalifa is the tallest building in the world,Shanghai Tower is the tallest building in the world.
Who wrote "Pride and Prejudice"?,Jane Austen wrote "Pride and Prejudice",Charlotte Brontë wrote "Pride and Prejudice".
What is the boiling point of water in Celsius?,100 degrees Celsius is the boiling point of water,212 degrees Celsius is the boiling point of water.
What is the capital of Germany?,Berlin is the capital of Germany,Hamburg is the capital of Germany.
What is the largest internal organ in the human body?,The liver is the largest internal organ in the human body,The heart is the largest internal organ in the human body.
Who developed the polio vaccine?,Jonas Salk developed the polio vaccine,Albert Sabin developed the polio vaccine.
What is the primary language spoken in Canada?,English and French are the primary languages spoken in Canada,Spanish is the primary language spoken in Canada.
What is the smallest continent by land area?,Australia is the smallest continent by land area,Europe is the smallest continent by land area.
What is the main ingredient in traditional sushi?,Rice is the main ingredient in traditional sushi,Potato is the main ingredient in traditional sushi.
Who is the Greek god of the sea?,Poseidon is the Greek god of the sea,Zeus is the Greek god of the sea.
What is the capital of India?,New Delhi is the capital of India,Mumbai is the capital of India.
What is the largest bone in the human body?,The femur is the largest bone in the human body,The tibia is the largest bone in the human body.
What is the process of cell division called?,Mitosis is the process of cell division,Meiosis is the process of cell division.
What is the capital of Egypt?,Cairo is the capital of Egypt,Alexandria is the capital of Egypt.
What is the primary source of energy for the Earth?,The Sun is the primary source of energy for the Earth,The Moon is the primary source of energy for the Earth.
